problem_id	user_id	skill_id	correct
9	2	Stanični metabolizam	1
10	2	Stanični metabolizam	1
11	2	Stanični metabolizam	1
6	3	Stanični metabolizam	1
7	3	Stanični metabolizam	1
8	3	Stanični metabolizam	1
9	3	Stanični metabolizam	1
10	3	Stanični metabolizam	1
11	3	Stanični metabolizam	1
6	4	Stanični metabolizam	0
7	4	Stanični metabolizam	0
8	4	Stanični metabolizam	1
9	4	Stanični metabolizam	1
10	4	Stanični metabolizam	0
11	4	Stanični metabolizam	1
6	5	Stanični metabolizam	1
7	5	Stanični metabolizam	1
8	5	Stanični metabolizam	1
9	5	Stanični metabolizam	1
10	5	Stanični metabolizam	1
11	5	Stanični metabolizam	0
6	6	Stanični metabolizam	0
7	6	Stanični metabolizam	0
8	6	Stanični metabolizam	0
9	6	Stanični metabolizam	0
10	6	Stanični metabolizam	0
11	6	Stanični metabolizam	0
6	7	Stanični metabolizam	0
7	7	Stanični metabolizam	0
8	7	Stanični metabolizam	0
9	7	Stanični metabolizam	0
10	7	Stanični metabolizam	0
11	7	Stanični metabolizam	1
6	8	Stanični metabolizam	1
7	8	Stanični metabolizam	1
8	8	Stanični metabolizam	0
9	8	Stanični metabolizam	1
10	8	Stanični metabolizam	1
11	8	Stanični metabolizam	1
6	9	Stanični metabolizam	0
7	9	Stanični metabolizam	1
8	9	Stanični metabolizam	1
9	9	Stanični metabolizam	0
10	9	Stanični metabolizam	0
11	9	Stanični metabolizam	1
6	10	Stanični metabolizam	0
7	10	Stanični metabolizam	0
8	10	Stanični metabolizam	1
9	10	Stanični metabolizam	1
10	10	Stanični metabolizam	0
11	10	Stanični metabolizam	1
6	11	Stanični metabolizam	0
7	11	Stanični metabolizam	0
8	11	Stanični metabolizam	1
9	11	Stanični metabolizam	1
10	11	Stanični metabolizam	1
11	11	Stanični metabolizam	0
6	12	Stanični metabolizam	1
7	12	Stanični metabolizam	0
8	12	Stanični metabolizam	0
9	12	Stanični metabolizam	0
10	12	Stanični metabolizam	0
11	12	Stanični metabolizam	0
6	13	Stanični metabolizam	1
7	13	Stanični metabolizam	1
8	13	Stanični metabolizam	1
9	13	Stanični metabolizam	1
10	13	Stanični metabolizam	1
11	13	Stanični metabolizam	1
6	14	Stanični metabolizam	1
7	14	Stanični metabolizam	0
8	14	Stanični metabolizam	1
9	14	Stanični metabolizam	1
10	14	Stanični metabolizam	0
11	14	Stanični metabolizam	0
6	15	Stanični metabolizam	1
7	15	Stanični metabolizam	1
8	15	Stanični metabolizam	1
9	15	Stanični metabolizam	0
10	15	Stanični metabolizam	1
11	15	Stanični metabolizam	1
6	16	Stanični metabolizam	0
7	16	Stanični metabolizam	0
8	16	Stanični metabolizam	1
9	16	Stanični metabolizam	1
10	16	Stanični metabolizam	1
11	16	Stanični metabolizam	1
6	17	Stanični metabolizam	0
7	17	Stanični metabolizam	0
8	17	Stanični metabolizam	0
9	17	Stanični metabolizam	1
10	17	Stanični metabolizam	0
11	17	Stanični metabolizam	0
6	18	Stanični metabolizam	1
7	18	Stanični metabolizam	1
8	18	Stanični metabolizam	0
9	18	Stanični metabolizam	0
10	18	Stanični metabolizam	1
11	18	Stanični metabolizam	1
6	19	Stanični metabolizam	0
7	19	Stanični metabolizam	1
8	19	Stanični metabolizam	0
9	19	Stanični metabolizam	0
10	19	Stanični metabolizam	0
11	19	Stanični metabolizam	0
6	20	Stanični metabolizam	0
7	20	Stanični metabolizam	1
8	20	Stanični metabolizam	0
9	20	Stanični metabolizam	0
10	20	Stanični metabolizam	1
11	20	Stanični metabolizam	0
6	21	Stanični metabolizam	0
7	21	Stanični metabolizam	1
8	21	Stanični metabolizam	1
9	21	Stanični metabolizam	1
10	21	Stanični metabolizam	1
11	21	Stanični metabolizam	1
6	22	Stanični metabolizam	1
7	22	Stanični metabolizam	1
8	22	Stanični metabolizam	1
9	22	Stanični metabolizam	1
10	22	Stanični metabolizam	1
11	22	Stanični metabolizam	1
6	23	Stanični metabolizam	1
7	23	Stanični metabolizam	1
8	23	Stanični metabolizam	0
9	23	Stanični metabolizam	1
10	23	Stanični metabolizam	1
11	23	Stanični metabolizam	1
6	24	Stanični metabolizam	1
7	24	Stanični metabolizam	1
8	24	Stanični metabolizam	1
9	24	Stanični metabolizam	1
10	24	Stanični metabolizam	0
11	24	Stanični metabolizam	0
6	25	Stanični metabolizam	1
7	25	Stanični metabolizam	0
8	25	Stanični metabolizam	1
9	25	Stanični metabolizam	0
10	25	Stanični metabolizam	1
11	25	Stanični metabolizam	0
6	26	Stanični metabolizam	1
7	26	Stanični metabolizam	0
8	26	Stanični metabolizam	1
9	26	Stanični metabolizam	1
10	26	Stanični metabolizam	1
11	26	Stanični metabolizam	1
6	27	Stanični metabolizam	1
7	27	Stanični metabolizam	1
8	27	Stanični metabolizam	1
9	27	Stanični metabolizam	1
10	27	Stanični metabolizam	0
11	27	Stanični metabolizam	1
6	28	Stanični metabolizam	1
7	28	Stanični metabolizam	1
8	28	Stanični metabolizam	1
9	28	Stanični metabolizam	1
10	28	Stanični metabolizam	1
11	28	Stanični metabolizam	1
6	29	Stanični metabolizam	1
7	29	Stanični metabolizam	1
8	29	Stanični metabolizam	1
9	29	Stanični metabolizam	1
10	29	Stanični metabolizam	1
11	29	Stanični metabolizam	1
6	30	Stanični metabolizam	1
7	30	Stanični metabolizam	1
8	30	Stanični metabolizam	1
9	30	Stanični metabolizam	0
10	30	Stanični metabolizam	1
11	30	Stanični metabolizam	1
6	31	Stanični metabolizam	1
7	31	Stanični metabolizam	1
8	31	Stanični metabolizam	0
9	31	Stanični metabolizam	0
10	31	Stanični metabolizam	0
11	31	Stanični metabolizam	1
6	32	Stanični metabolizam	0
7	32	Stanični metabolizam	1
8	32	Stanični metabolizam	0
9	32	Stanični metabolizam	0
10	32	Stanični metabolizam	0
11	32	Stanični metabolizam	1
6	33	Stanični metabolizam	1
7	33	Stanični metabolizam	1
8	33	Stanični metabolizam	1
9	33	Stanični metabolizam	0
10	33	Stanični metabolizam	1
11	33	Stanični metabolizam	0
6	34	Stanični metabolizam	0
7	34	Stanični metabolizam	0
8	34	Stanični metabolizam	1
9	34	Stanični metabolizam	1
10	34	Stanični metabolizam	0
11	34	Stanični metabolizam	1
6	35	Stanični metabolizam	1
7	35	Stanični metabolizam	1
8	35	Stanični metabolizam	0
9	35	Stanični metabolizam	0
10	35	Stanični metabolizam	0
11	35	Stanični metabolizam	1
6	36	Stanični metabolizam	0
7	36	Stanični metabolizam	1
8	36	Stanični metabolizam	1
9	36	Stanični metabolizam	1
10	36	Stanični metabolizam	1
11	36	Stanični metabolizam	1
6	37	Stanični metabolizam	1
7	37	Stanični metabolizam	0
